Date,Close,High,Low,Open,Volume,MA7,Lag1,Lag2,Volatility,Target
2025-04-11,1368.937255859375,1397.4437254302495,1356.893771609889,1370.6855647660782,12567440,1406.5178920200892,1363.3524169921875,1387.7310791015625,0.025039154552879944,1385.011474609375
2025-04-15,1385.011474609375,1406.087688754894,1368.5001176189407,1404.0480742507405,10178530,1389.291957310268,1368.937255859375,1363.3524169921875,0.024408355989881853,1372.4822998046875
2025-04-16,1372.4822998046875,1386.4684147056246,1356.6508927211694,1384.0402738742662,12022740,1377.7201450892858,1385.011474609375,1368.937255859375,0.022204324606698245,1378.6982421875
2025-04-17,1378.6982421875,1388.7022289531085,1338.6825322481727,1357.8162328834976,14264227,1373.2592947823662,1372.4822998046875,1385.011474609375,0.020243101738376054,1409.29296875
2025-04-21,1409.29296875,1429.4951483248678,1369.4714582615436,1369.4714582615436,15648970,1380.7865339006696,1378.6982421875,1372.4822998046875,0.015102462995067005,1381.903564453125
2025-04-22,1381.903564453125,1398.6091260339042,1378.5041672717928,1398.6091260339042,9399738,1379.9540318080358,1409.29296875,1378.6982421875,0.015459780494298228,1432.505859375
2025-04-23,1432.505859375,1445.0350886470426,1398.2204665039803,1404.4365301839098,11136642,1389.8330950055804,1381.903564453125,1409.29296875,0.0187122082424621,1429.1065673828125
2025-04-24,1429.1065673828125,1440.2760150192205,1419.4911061400271,1427.6496829084983,7114292,1398.4287109375,1432.505859375,1381.903564453125,0.019050181794072193,1437.653564453125
2025-04-25,1437.653564453125,1458.535575435,1421.4336312546193,1433.0887071514799,8329979,1405.949009486607,1429.1065673828125,1432.505859375,0.0189006482932464,1439.4989013671875
2025-04-28,1439.4989013671875,1446.7833234291916,1423.1818670852326,1437.6534907325017,5886253,1415.5228097098213,1437.653564453125,1429.1065673828125,0.017955746575929327,1454.4564208984375
2025-04-29,1454.4564208984375,1466.4029217301106,1431.7289980215003,1439.4019470928108,8056743,1426.3454066685267,1439.4989013671875,1437.653564453125,0.017959586155395005,1456.9815673828125
2025-04-30,1456.9815673828125,1465.431568419441,1439.984581952398,1453.7764926957282,7704183,1433.1580636160713,1454.4564208984375,1439.4989013671875,0.01685973960707625,1463.586181640625
2025-05-02,1463.586181640625,1479.4175886205041,1453.1936678135066,1456.5930649551544,7402310,1444.8270089285713,1456.9815673828125,1454.4564208984375,0.013115291885950486,1465.2373046875
2025-05-05,1465.2373046875,1479.2234198282615,1459.6040889990923,1471.453369034679,4282493,1449.5029296875,1463.586181640625,1456.9815673828125,0.004130607671595394,1468.0538330078125
2025-05-06,1468.0538330078125,1472.0359599506996,1456.0102317041706,1462.7119235923028,4270530,1455.0668247767858,1465.2373046875,1463.586181640625,0.0034148644869875966,1464.9459228515625
2025-05-07,1464.9459228515625,1475.1441139885928,1453.5821530190785,1456.8844481471906,5691799,1458.9657331194196,1468.0538330078125,1465.2373046875,0.003909879486676656,1467.9569091796875
